id,name,category,wikiLinks
qgare2,Verdant Tea,concoction,https://remnant.wiki/Verdant_Tea
2jeq07,Xenoplasm,concoction,https://remnant.wiki/Xenoplasm
rw5Q9E,All-Seeing Eye,consumable,https://remnant.wiki/All-Seeing_Eye
6lnae6,Ambit Ember,consumable,https://remnant.wiki/Ambit_Ember
v2usqs,Ammo Box,consumable,https://remnant.wiki/Ammo_Box
a34kjc,Antidote,consumable,https://remnant.wiki/Antidote
elazod,Bandage,consumable,https://remnant.wiki/Bandage
edaeta,Binding Orb,consumable,https://remnant.wiki/Binding_Orb
nrdcko,Black Tar,consumable,https://remnant.wiki/Black_Tar
bisl2l,Blood Root,consumable,https://remnant.wiki/Blood_Root
937h03,Brightstone,consumable,https://remnant.wiki/Brightstone
RCsP9c,Celestial Thaen Fruit,consumable,https://remnant.wiki/Thaen_Fruit
al8yob,Confidence Booster,consumable,https://remnant.wiki/Confidence_Booster
3KVVwq,Dran's Dream,consumable,https://remnant.wiki/Dran%27s_Dream
Y8ey65,Dried Fruit,consumable,https://remnant.wiki/Dried_Fruit
JU5svc,Elder Thaen Fruit,consumable,https://remnant.wiki/Thaen_Fruit
ffjbc9,Ethereal Orb,consumable,https://remnant.wiki/Ethereal_Orb
aqphr5,Faerie Needle,consumable,https://remnant.wiki/Faerie_Needle
m1gznf,Gul Serum,consumable,https://remnant.wiki/Gul_Serum
PvwhJ5,Huntress's Dream,consumable,https://remnant.wiki/Huntress%27s_Dream
1585ah,Koara Pellet,consumable,https://remnant.wiki/Koara_Pellet
E5CbP6,Light Extract,consumable,https://remnant.wiki/Light_Extract
xgdk68,Liquid Escape,consumable,https://remnant.wiki/Liquid_Escape
3gZ3s3,Mature Thaen Fruit,consumable,https://remnant.wiki/Thaen_Fruit
dvx5ib,Mud Rub,consumable,https://remnant.wiki/Mud_Rub
6aasor,Mystery Jerky,consumable,https://remnant.wiki/Mystery_Jerky
4Sv3yg,Nimue's Dream,consumable,https://remnant.wiki/Nimue%27s_Dream
0sec3n,Oilskin Balm,consumable,https://remnant.wiki/Oilskin_Balm
4g6uzA,Orb of Undoing,consumable,https://remnant.wiki/Orb_of_Undoing
kfwizc,Pipe Bomb,consumable,https://remnant.wiki/Pipe_Bomb
6awni8,Poisoned Ambit Ember Capsule,consumable,https://remnant.wiki/Poisoned_Ambit_Ember_Capsule
4lvdgg,Processed Koara,consumable,https://remnant.wiki/Processed_Koara
wzi8il,Purified Salve,consumable,https://remnant.wiki/Purified_Salve
rlpblq,Rocket Fuel,consumable,https://remnant.wiki/Rocket_Fuel
rlpblz,Sweet Leaf,consumable,https://remnant.wiki/Sweet_Leaf
li99wc,Timeworn Unguent,consumable,https://remnant.wiki/Timeworn_Unguent
5dUhG6,Walker's Dream,consumable,https://remnant.wiki/Walker%27s_Dream
62uunk,Athletic,fusion,
ck7ms0,Capacitor,fusion,
zr00kz,Cleric,fusion,
6ybk0o,Flash,fusion,
d6hgip,Grip,fusion,
w962ng,Gunfighter,fusion,
t2myua,Hulk,fusion,
ynxc2m,Longevity,fusion,
m1h26g,Mage,fusion,
g58d3p,Meta,fusion,
wi41h6,Munitions,fusion,
n5mt1u,Pirate,fusion,
x59m5x,Protected,fusion,
jeu7d6,Pugilist,fusion,
3fenef,Revitalize,fusion,
q0ox6z,Rogue,fusion,
ht9ok0,Sapper,fusion,
0dm69i,Selfless,fusion,
26o0ys,Sniper,fusion,
3b43hx,Tank,fusion,
6p6ssk,Threshold,fusion,
oxap1d,Warrior,fusion,
g9u4i3,Wizard,fusion,
f4tb3k,Academic's Gloves,gloves,https://remnant.wiki/Academic's_Gloves
b7j8ys,Bandit Gloves,gloves,https://remnant.wiki/Bandit_Gloves
batglo,Battle Gloves,gloves,https://remnant.wiki/Battle_Gloves
80xuqr,Bruiser Gloves,gloves,https://remnant.wiki/Bruiser_Gloves
ms9geh,Crimson Guard Gauntlets,gloves,https://remnant.wiki/Crimson_Guard_Gauntlets
6jrywg,Cultist Gloves,gloves,https://remnant.wiki/Cultist_Gloves
6oy3xp,Dendroid Grips,gloves,https://remnant.wiki/Dendroid_Grips
6dy3xp,Disciple Vambraces,gloves,https://remnant.wiki/Disciple_Vambraces
1ijl54,Elder Gloves,gloves,https://remnant.wiki/Elder_Gloves
6005lk,Fae Royal Vambraces,gloves,https://remnant.wiki/Fae_Royal_Vambraces
7ic3gp,Field Medic Gloves,gloves,https://remnant.wiki/Field_Medic_Gloves
afu61j,High Noon Armguards,gloves,https://remnant.wiki/High_Noon_Armguards
07mqqe,Knotted Gloves,gloves,https://remnant.wiki/Knotted_Gloves
bhw19m,Labyrinth Gauntlets,gloves,https://remnant.wiki/Labyrinth_Gauntlets
2lqg9t,Leto Mark 1 Gloves,gloves,https://remnant.wiki/Leto_Mark_1_Gloves
nfxk7i,Leto Mark II Gloves,gloves,https://remnant.wiki/Leto_Mark_II_Gloves
1asxjo,Nanoplated Hands,gloves,https://remnant.wiki/Nanoplated_Hands
xl7dm2,Nightstalker Gloves,gloves,https://remnant.wiki/Nightstalker_Gloves
i21ob4,Phetyr Crushers,gloves,https://remnant.wiki/Phetyr_Crushers
rjm014,Radiant Bracers,gloves,https://remnant.wiki/Radiant_Bracers
47ak51,Realmwalker Gloves,gloves,https://remnant.wiki/Realmwalker_Gloves
7uqilq,Red Widow Bracers,gloves,https://remnant.wiki/Red_Widow_Bracers
6clcha,Space Worker Gloves,gloves,https://remnant.wiki/Space_Worker_Gloves
ws5jah,Survivor Gloves,gloves,https://remnant.wiki/Survivor_Gloves
11wear,Technician Gloves,gloves,https://remnant.wiki/Technician_Gloves
tgd095,Trainer Bracer,gloves,https://remnant.wiki/Trainer_Bracer
a527cd,Void Wraps,gloves,https://remnant.wiki/Void_Wraps
irt51q,Zealot's Wraps,gloves,https://remnant.wiki/Zealot's_Wraps
9qo2gg,Academic's Hat,helm,https://remnant.wiki/Academic's_Hat
v66pgu,Bandit's Mask,helm,https://remnant.wiki/Bandit's_Mask
nathem,Battle Helmet,helm,https://remnant.wiki/Battle_Helmet
o5fNZw,Bloodless Crown,helm,https://remnant.wiki/Bloodless_Crown
bd4pam,Bruiser Helmet,helm,https://remnant.wiki/Bruiser_Helmet
ce8izt,Crimson Guard Shroud,helm,https://remnant.wiki/Crimson_Guard_Shroud
pu3duv,Crown of the Red Prince,helm,https://remnant.wiki/Crown_of_the_Red_Prince
x9jrx1,Cultist Hat,helm,https://remnant.wiki/Cultist_Hat
vZL5tu,Dandy Topper,helm,https://remnant.wiki/Dandy_Topper
y7fa8n,Dendroid Mask,helm,https://remnant.wiki/Dendroid_Mask
y7fa8d,Disciple Headpiece,helm,https://remnant.wiki/Disciple_Headpiece
fek1ml,Elder Headdress,helm,https://remnant.wiki/Elder_Headdress
88kdl6,Fae Royal Headcover,helm,https://remnant.wiki/Fae_Royal_Headcover
48nh1x,Field Medic Hat,helm,https://remnant.wiki/Field_Medic_Hat
e1waki,Field Medic Mask,helm,https://remnant.wiki/Field_Medic_Mask
94xkn1,High Noon Hat,helm,https://remnant.wiki/High_Noon_Hat
oab1w0,Knotted Helm,helm,https://remnant.wiki/Knotted_Helm
im7fm2,Labyrinth Headplate,helm,https://remnant.wiki/Labyrinth_Headplate
kc4dc0,Leto Mark 1 Helmet,helm,https://remnant.wiki/Leto_Mark_1_Helmet
sdsybp,Leto Mark II Helmet,helm,https://remnant.wiki/Leto_Mark_II_Helmet
pjt7nj,Lodestone Crown,helm,https://remnant.wiki/Lodestone_Crown
u7PqrJ,Mudtooth's Hat,helm,https://remnant.wiki/Mudtooth's_Hat
2x3sxo,Nanoplated Transmitter,helm,https://remnant.wiki/Nanoplated_Transmitter
ovnzhv,Navigator's Helm,helm,https://remnant.wiki/Navigator's_Helm
zy1ce3,Nightstalker Shroud,helm,https://remnant.wiki/Nightstalker_Shroud
3emu93,Phetyr Sensor,helm,https://remnant.wiki/Phetyr_Sensor
hv4oqq,Radiant Visage,helm,https://remnant.wiki/Radiant_Visage
abhqna,Realmwalker Beret,helm,https://remnant.wiki/Realmwalker_Beret
k6zlwn,Red Widow Headdress,helm,https://remnant.wiki/Red_Widow_Headdress
n3vlkq,Space Worker Mask,helm,https://remnant.wiki/Space_Worker_Mask
gsctum,Technician Helmet,helm,https://remnant.wiki/Technician_Helmet
m8wgy9,Trainer Cap,helm,https://remnant.wiki/Trainer_Cap
gsctud,True Crimson Crown,helm,https://remnant.wiki/True_Crimson_Crown
s7tvfn,Void Skull,helm,https://remnant.wiki/Void_Skull
81jid6,Welding Goggles,helm,https://remnant.wiki/Welding_Goggles
ts1v89,Zealot's Hat,helm,https://remnant.wiki/Zealot's_Hat
9b43cb,Academic's Trousers,legs,https://remnant.wiki/Academic's_Trousers
zdv44y,Bandit Trousers,legs,https://remnant.wiki/Bandit_Trousers
battra,Battle Slacks,legs,https://remnant.wiki/Battle_Slacks
pof5ii,Bruiser Boots,legs,https://remnant.wiki/Bruiser_Boots
zk58sf,Crimson Guard Sabatons,legs,https://remnant.wiki/Crimson_Guard_Sabatons
mr4hn3,Cultist Britches,legs,https://remnant.wiki/Cultist_Britches
zwh3mb,Dendroid Leggings,legs,https://remnant.wiki/Dendroid_Leggings
udddub,Disciple Greaves,legs,https://remnant.wiki/Disciple_Greaves
tfvyyg,Elder Leggings,legs,https://remnant.wiki/Elder_Leggings
pi4h8k,Fae Royal Greaves,legs,https://remnant.wiki/Fae_Royal_Greaves
eqcfyt,Field Medic Trousers,legs,https://remnant.wiki/Field_Medic_Trousers
yccols,High Noon Soles,legs,https://remnant.wiki/High_Noon_Soles
b48zw1,Knotted Greaves,legs,https://remnant.wiki/Knotted_Greaves
td29nk,Labyrinth Treads,legs,https://remnant.wiki/Labyrinth_Treads
59uhgg,Leto Mark 1 Leggings,legs,https://remnant.wiki/Leto_Mark_1_Leggings
t8auqk,Leto Mark II Leggings,legs,https://remnant.wiki/Leto_Mark_II_Leggings
im4rk0,Nanoplated Waist,legs,https://remnant.wiki/Nanoplated_Waist
l6utx1,Nightstalker Pants,legs,https://remnant.wiki/Nightstalker_Pants
pd68a7,Phetyr Locomotor,legs,https://remnant.wiki/Phetyr_Locomotor
vsg3ue,Radiant Greaves,legs,https://remnant.wiki/Radiant_Greaves
4sy6z9,Realmwalker Pantaloons,legs,https://remnant.wiki/Realmwalker_Pantaloons
e4fbbu,Red Widow Leggings,legs,https://remnant.wiki/Red_Widow_Leggings
rsyilr,Space Worker Legs,legs,https://remnant.wiki/Space_Worker_Legs
gv2eqj,Survivor Leggings,legs,https://remnant.wiki/Survivor_Leggings
m16oqd,Technician Greaves,legs,https://remnant.wiki/Technician_Greaves
olwicb,Trainer Workboots,legs,https://remnant.wiki/Trainer_Workboots
73lqjk,Void Greaves,legs,https://remnant.wiki/Void_Greaves
sem0s8,Zealot's Seaboots,legs,https://remnant.wiki/Zealot's_Seaboots
777968,77 79 68,mod,https://remnant.wiki/Polygun
h9k5pd,Abrasive Rounds,mod,https://remnant.wiki/Abrasive_Rounds
h9k5pl,Accelerator,mod,https://remnant.wiki/Atom_Smasher
vi86jx,Aftermath,mod,https://remnant.wiki/Redeemer
mqta6g,Astral Burst,mod,https://remnant.wiki/Astral_Burst
wszjeu,Awakening,mod,https://remnant.wiki/Wrathbringer
k7z7r2,Banish,mod,https://remnant.wiki/Repulsor
5ke493,Beta Ray,mod,https://remnant.wiki/Alpha_/_Omega
puif17,Beyond the Veil,mod,https://remnant.wiki/Nightshade
s7ozpe,Big Bang,mod,https://remnant.wiki/Star_Shot
gdY2uZ,Blaze,mod,https://remnant.wiki/Smolder
ss7zwt,Blood Draw,mod,https://remnant.wiki/Blood_Draw
yxxajn,Bloodline,mod,https://remnant.wiki/Merciless
tw8tbh,Bloodshot,mod,https://remnant.wiki/Corrupted_Merciless
1rw0kk,Bloodthirst,mod,https://remnant.wiki/Assassin's_Dagger
iq4wjy,Bore,mod,https://remnant.wiki/Bore
lxt1j0,Chain of Command,mod,https://remnant.wiki/Monarch
dxnd9s,Chaos Driver,mod,https://remnant.wiki/Enigma
an140h,Concussive Shot,mod,https://remnant.wiki/Concussive_Shot
hr3g7o,Corrosive Rounds,mod,https://remnant.wiki/Corrosive_Rounds
a3ctlf,Creeping Mist,mod,https://remnant.wiki/Creeping_Mist
2nMTRG,Cube Room,mod,https://remnant.wiki/Corrupted_Cube_Gun
1bfanq,Cube Shield,mod,https://remnant.wiki/Cube_Gun
1bfadq,Cyclone,mod,https://remnant.wiki/Mirage
ysz4fw,Deadpoint,mod,https://remnant.wiki/Corrupted_Meridian
k7z7rz,Deadwood,mod,https://remnant.wiki/Thorn
d3q99g,Death Brand,mod,https://remnant.wiki/Corrupted_Rune_Pistol
wilhsl,Death Sentence,mod,https://remnant.wiki/Feral_Judgement
3hqdob,Defrag,mod,https://remnant.wiki/Defrag
ybej3w,Dreadwalker,mod,https://remnant.wiki/Nightfall
dwmc70,Dreamwave,mod,https://remnant.wiki/Dreamcatcher
22nk8x,Dying Breath,mod,https://remnant.wiki/Gas_Giant
8uluwc,Energy Wall,mod,https://remnant.wiki/Energy_Wall
7ztoh8,Energy Wave,mod,https://remnant.wiki/Hero's_Sword
3xf7i2,Eulogy,mod,https://remnant.wiki/Sorrow
hpfdzp,Explosive Shot,mod,https://remnant.wiki/Hellfire
sccdmt,Familiar,mod,https://remnant.wiki/Familiar
yedqs6,Fargazer,mod,https://remnant.wiki/Fargazer
o1zwol,Fathomless Deep,mod,https://remnant.wiki/Abyssal_Hook
5mlisj,Faultline,mod,https://remnant.wiki/Stonebreaker
snlx8w,Firestorm,mod,https://remnant.wiki/Firestorm
d490vt,Fission Strike,mod,https://remnant.wiki/Atom_Splitter
2GWpcL,Flying Bomb Trap,mod,https://remnant.wiki/Flying_Bomb_Trap
x8vmra,Fracture,mod,https://remnant.wiki/Godsplitter
D8obdv,Fusion Cannon,mod,https://remnant.wiki/Corrupted_Savior
kep3kb,Gravity Core,mod,https://remnant.wiki/Starkiller
anhbhf,Guardian's Call,mod,https://remnant.wiki/Twisted_Arbalest
WzXG4x,Guardian's Fury,mod,https://remnant.wiki/Corrupted_Arbalest
vk6XTW,Harvester Bots,mod,https://remnant.wiki/Harvester_Bots
vc361n,Healing Shot,mod,https://remnant.wiki/Healing_Shot
s49h0c,Heat Sink,mod,https://remnant.wiki/Plasma_Cutter
vc3s1n,Heatwave,mod,https://remnant.wiki/Heatwave
1mtqkk,Helix,mod,https://remnant.wiki/Helix
2fjw9q,Horizon Strike,mod,https://remnant.wiki/World's_Edge
9vzb9r,Hot Shot,mod,https://remnant.wiki/Hot_Shot
778jv8,Indomitable Strike,mod,https://remnant.wiki/Black_Greatsword
29kz6t,Javelin,mod,https://remnant.wiki/Huntress_Spear
4hu8s0,Kilonova,mod,https://remnant.wiki/Dark_Matter_Gauntlets
e4n1w4,Knight Guard,mod,https://remnant.wiki/Knight_Guard
38rncx,Krell Edge,mod,https://remnant.wiki/Krell_Axe
4zqfhu,Lifeline,mod,https://remnant.wiki/Red_Doe_Staff
aobtw7,Loathe the Weak,mod,https://remnant.wiki/Anguish
5s9x12,Mega Drive,mod,https://remnant.wiki/Genesis
8izb2g,Micronova,mod,https://remnant.wiki/Corrupted_Aphelion
wfak3h,Moonlight Barrage,mod,https://remnant.wiki/Crescent_Moon
WARGv3,Nano Phase,mod,https://remnant.wiki/Corrupted_Nebula
8ko9zz,Nano Swarm,mod,https://remnant.wiki/Nebula
czgb8w,Ouroboros,mod,https://remnant.wiki/Deceit
tya9an,Overflow,mod,https://remnant.wiki/Overflow
t1ugnb,Phantom Blade,mod,https://remnant.wiki/Harvester_Scythe
2JimAt,Power Stone,mod,https://remnant.wiki/Crystal_Staff
vtcg3o,Prismatic Driver,mod,https://remnant.wiki/Prismatic_Driver
geb8ho,Reaver,mod,https://remnant.wiki/Ritualist_Scythe
Rix6Sr,Recoil Dampener,mod,https://remnant.wiki/Monorail
4rdl8r,Ring of Spears,mod,https://remnant.wiki/Ring_of_Spears
nfw6ja,Rootlash,mod,https://remnant.wiki/Rootlash
vgin4w,Rotted Arrow,mod,https://remnant.wiki/Rotted_Arrow
ozNPv9,Sandstorm,mod,https://remnant.wiki/Monolith
hcv400,Scrap Shot,mod,https://remnant.wiki/Scrap_Shot
4aeebu,Screamer,mod,https://remnant.wiki/Meridian
z9e8qq,Shatterstar,mod,https://remnant.wiki/Savior
DUs5M2,Shielding Shot,mod,https://remnant.wiki/Shielding_Shot
cpvech,Skewer 2.0,mod,https://remnant.wiki/Skewer_2.0
edm644,Song of Eafir,mod,https://remnant.wiki/Song_of_Eafir
imk8xh,Soul Brand,mod,https://remnant.wiki/Rune_Pistol
5bb0mv,Soulbinder,mod,https://remnant.wiki/Soulbinder
4wd3gm,Space Crabs,mod,https://remnant.wiki/Space_Crabs
9fi67v,Spore Shot,mod,https://remnant.wiki/Sporebloom
j9wkb3,Starfall,mod,https://remnant.wiki/Sagittarius
rer73h,Stasis Beam,mod,https://remnant.wiki/Stasis_Beam
9rxk65,Supernova,mod,https://remnant.wiki/Aphelion
nn1q6k,Time Lapse,mod,https://remnant.wiki/Time_Lapse
g6glpj,Tremor,mod,https://remnant.wiki/Tremor
0ycjs9,Voidlight,mod,https://remnant.wiki/Voidlight
wjopwy,Voltaic Rondure,mod,https://remnant.wiki/Voltaic_Rondure
