save_file_slug,toolkit_id,name,image_path
Amulet_InsulationDriver,k1oijc,Insulation Driver,/items/amulets/insulationdriver.png
Amulet_JestersBell,lpv0qq,Jester's Bell,/items/amulets/jestersbell.png
Amulet_KineticShieldExchanger,femylz,Kinetic Shield Exchanger,/items/amulets/kineticshieldexchanger.png
Amulet_KuriKuriCharm,04yl4w,Kuri Kuri Charm,/items/amulets/kurikuricharm.png
Amulet_LaemirCenser,hwpkls,Laemir Censer,/items/amulets/laemircenser.png
Amulet_LegacyProtocol,a7axvo,Legacy Protocol,/items/amulets/legacyprotocol.png
Amulet_LetosAmulet,rpxs8n,Leto's Amulet,/items/amulets/letosamulet.png
Amulet_MagnifyingGlass,zo9Dkk,Magnifying Glass,/items/amulets/magnifyingglass.png
Amulet_MatriarchsInsignia,jlch5h,Matriarch's Insignia,/items/amulets/matriarchinsignia.png
Amulet_MoonStone,zo9Dkd,Moon Stone,/items/amulets/moonstone.png
Amulet_NavigatorsPendant,pd4ez1,Navigator's Pendant,/items/amulets/navigatorpendant.png
Amulet_NeckboneNecklace,r11n5x,Neckbone Necklace,/items/amulets/neckbonenecklace.png
Amulet_NecklaceOfFlowingLife,8q9cj1,Necklace of Flowing Life,/items/amulets/necklaceofflowinglife.png
Amulet_NecklaceOfSupremacy,dm67y5,Necklace of Supremacy,/items/amulets/necklaceofsupremacy.png
Amulet_NightmareSpiral,mewmtq,Nightmare Spiral,/items/amulets/nightmarespiral.png
Amulet_NightweaversGrudge,0aaso1,Nightweaver's Grudge,/items/amulets/nightweavergrudge.png
Amulet_NimuesRibbon,sqsdvj,Nimue's Ribbon,/items/amulets/nimuesribbon.png
Amulet_OneEyedJokerIdol,yl1ah9,One-Eyed Joker Idol,/items/amulets/oneeyedjokeridol.png
Amulet_OneTrueKingSigil,j5ew1m,One True King Sigil,/items/amulets/onetruekingsigil.png
Amulet_OnyxPendulum,ps6umu,Onyx Pendulum,/items/amulets/onyxpendulam.png
Amulet_OrnateAmulet,xz3z4k,Ornate Amulet,
Amulet_ParticipationMedal,588hoi,Participation Medal,/items/amulets/participationmedal.png
Amulet_ProfaneSoulStone,YsS9NW,Profane Soul Stone,/items/amulets/profanesoulstone.png
Amulet_QuantumMemory,542njq,Quantum Memory,/items/amulets/quantummemory.png
Amulet_RangeFinder,t7x0op,Range Finder,/items/amulets/rangefinder.png
Amulet_RavagersMark,gh0gk6,Ravager's Mark,/items/amulets/ravagermark.png
Amulet_ReactionChain,k1cwam,Reaction Chain,/items/amulets/reactionchain.png
Amulet_RedDoeSigil,xxp0ri,Red Doe Sigil,/items/amulets/reddoesigil.png
Amulet_ReedOfTheVaunnt,U2Vekv,Reed of the Vaunnt,/items/amulets/reedofthevaunnt.png
Amulet_RelayDevice,fwtqy6,Relay Device,/items/amulets/relaydevice.png
Amulet_RustedNavigatorsPendant,iq6zyc,Rusted Navigator's Pendant,/items/amulets/rustednavigatorpendant.png
Amulet_Samoflange,z7ivk2,Samoflange,/items/amulets/samoflange.png
Amulet_ScavengersBauble,j2jso0,Scavenger's Bauble,/items/amulets/scavengerbauble.png
Amulet_ShockDevice,9z1g8f,Shock Device,/items/amulets/shockdevice.png
Amulet_ShortCircuit,yuW4pJ,Short Circuit,/items/amulets/shortcircuit.png
Amulet_SilverRibbon,k8j2r3,Silver Ribbon,/items/amulets/silverribbon.png
Amulet_SinisterTotem,qwguja,Sinister Totem,/items/amulets/sinistertotem.png
Amulet_SoulAnchor,6amich,Soul Anchor,/items/amulets/soulanchor.png
Amulet_SoulStone,z7ivk3,Soul Stone,/items/amulets/soulstone.png
Amulet_SpiritWispAmulet,n1y24e,Spirit Wisp Amulet,/items/amulets/spiritwispamulet.png
Amulet_StalkersBrand,rcyafk,Stalker's Brand,/items/amulets/stalkersbrand.png
Amulet_StoneshapersChisel,41ookg,Stoneshaper's Chisel,/items/amulets/stoneshaperchisel.png
Amulet_TalismanOfTheSun,8jy9hv,Talisman of the Sun,/items/amulets/talismanofthesun.png
Amulet_TimekeepersForfeit,t4ho4m,,/items/amulets/timekeepersforfeit.png
Amulet_ToxicReleaseValve,nevpy5,Toxic Release Valve,/items/amulets/toxicreleasevalve.png
Amulet_TwistedIdol,776kn2,Twisted Idol,/items/amulets/twistedidol.png
Amulet_VengeanceIdol,1ucgis,Vengeance Idol,/items/amulets/vengeanceidol.png
Amulet_VoidIdol,rctnex,Void Idol,/items/amulets/voididol.png
Amulet_VolatileCartridge,up6mi1,Volatile Cartridge,/items/amulets/volatilecartridge.png
Amulet_WeightlessWeight,b9l389,Weightless Weight,/items/amulets/weightlessweight.png
Amulet_WhisperingMarble,2e2hh5,Whispering Marble,/items/amulets/whisperingmarble.png
Amulet_WornDogTags,69dogy,Worn Dog Tags,/items/amulets/worndogtag.png
Amulet_ZeroDivide,ryS67y,Zero Divide,/items/amulets/zerodivide.png
Amulet_ZeroHour,ozin1d,Zero Hour,/items/amulets/zerohour.png
Armor_Body_Alchemist,zk8f7a,Academic's Overcoat,/items/armors/academicsovercoat.png
Armor_Body_Archon,ivwkr5,Labyrinth Mantle,/items/armors/labyrinthmantle.png
Armor_Body_Army,batshi,Battle Shirt,/items/armors/battleshirt.png
Armor_Body_Bandit,h04d6v,Bandit Jacket,/items/armors/banditjacket.png
Armor_Body_Challenger,trz2cm,Bruiser Bodyplate,/items/armors/bruiserbodyplate.png
Armor_Body_CrimsonGuard,hz7ddb,Crimson Guard Plate,/items/armors/crimsonguardplate.png
Armor_Body_Cultist,w4emjx,Cultist Duster,/items/armors/cultistduster.png
Armor_Body_Elder,zu64t4,Elder Raiment,/items/armors/elderraiment.png
Armor_Body_Engineer,0c35xs,Technician Bodyplate,/items/armors/technicianbodyplate.png
Armor_Body_Explorer,2h9xgj,Realmwalker Tunic,/items/armors/realmwalkertunic.png
Armor_Body_FaeRoyalGuard,0sm6sn,Fae Royal Bodyplate,/items/armors/faeroyalbodyplate.png
Armor_Body_Gunslinger,uszg5g,High Noon Duds,/items/armors/highnoonduds.png
Armor_Body_Handler,ldli1k,Trainer Clothes,/items/armors/trainerclothes.png
Armor_Body_Hunter,lqrdx5,Nightstalker Garb,/items/armors/nightstalkergarb.png
Armor_Body_Invader,uoddub,Dendroid Chest,/items/armors/dendroidchest.png
Armor_Body_Invoker,ddddub,Disciple Mantle,/items/armors/disciplemantle.png
Armor_Body_Leto1,y1xt79,Leto Mark 1 Armor,/items/armors/letomark1armor.png
Armor_Body_Leto2,ioksvz,Leto Mark II Armor,/items/armors/letomark2armor.png
Armor_Body_Medic,m07a0z,Field Medic Overcoat,/items/armors/fieldmedicovercoat.png
Armor_Body_NerudWarrior,smq21h,Phetyr Chassis,/items/armors/phetyrchassis.png
Armor_Body_Radiant,dd5s6k,Radiant Protector,/items/armors/radiantprotector.png
Armor_Body_RedWidow,lude4p,Red Widow Raiment,/items/armors/redwidowraiment.png
Armor_Body_Ritualist,ym0mau,Zealot's Overcoat,/items/armors/zealotsovercoat.png
Armor_Body_SpaceWorker,jwanjw,Space Worker Body,/items/armors/spaceworkerbody.png
Armor_Body_summoner,n92z22,Knotted Cage,/items/armors/knottedcage.png
Armor_Body_Survivor,jr8r1l,Survivor Overcoat,/items/armors/survivorovercoat.png
Armor_Body_Void,rmq9je,Void Carapace,/items/armors/voidcarapace.png
Armor_Body_Warden,4rt0f9,Nanoplated Vestments,/items/armors/nanoplatedvestments.png
Armor_Gloves_Alchemist,f4tb3k,Academic's Gloves,/items/armors/academicsgloves.png
Armor_Gloves_Archon,bhw19m,Labyrinth Gauntlets,/items/armors/labyrinthgauntlets.png
Armor_Gloves_Army,batglo,Battle Gloves,/items/armors/battlegloves.png
Armor_Gloves_Bandit,b7j8ys,Bandit Gloves,/items/armors/banditgloves.png
Armor_Gloves_Challenger,80xuqr,Bruiser Gloves,/items/armors/bruisergloves.png
Armor_Gloves_CrimsonGuard,ms9geh,Crimson Guard Gauntlets,/items/armors/crimsonguardgauntlets.png
Armor_Gloves_Cultist,6jrywg,Cultist Gloves,/items/armors/cultistgloves.png
Armor_Gloves_Elder,1ijl54,Elder Gloves,/items/armors/eldergloves.png
Armor_Gloves_Engineer,11wear,Technician Gloves,/items/armors/techniciangloves.png
Armor_Gloves_Explorer,47ak51,Realmwalker Gloves,/items/armors/realmwalkergloves.png
Armor_Gloves_FaeRoyalGuard,6005lk,Fae Royal Vambraces,/items/armors/faeroyalvambraces.png
Armor_Gloves_Gunslinger,afu61j,High Noon Armguards,/items/armors/highnoonarmguards.png
Armor_Gloves_Handler,tgd095,Trainer Bracer,/items/armors/trainerbracer.png
Armor_Gloves_Hunter,xl7dm2,Nightstalker Gloves,/items/armors/nightstalkergloves.png
Armor_Gloves_Invader,6oy3xp,Dendroid Grips,/items/armors/dendroidgrips.png
Armor_Gloves_Invoker,6dy3xp,Disciple Vambraces,/items/armors/disciplevambraces.png
Armor_Gloves_Leto1,2lqg9t,Leto Mark 1 Gloves,/items/armors/letomark1gloves.png
Armor_Gloves_Leto2,nfxk7i,Leto Mark II Gloves,/items/armors/letomark2gloves.png
Armor_Gloves_Medic,7ic3gp,Field Medic Gloves,/items/armors/fieldmedicgloves.png
Armor_Gloves_NerudWarrior,i21ob4,Phetyr Crushers,/items/armors/phetyrcrushers.png
Armor_Gloves_Radiant,rjm014,Radiant Bracers,/items/armors/radiantbracers.png
Armor_Gloves_RedWidow,7uqilq,Red Widow Bracers,/items/armors/redwidowbracers.png
Armor_Gloves_Ritualist,irt51q,Zealot's Wraps,/items/armors/zealotswraps.png
Armor_Gloves_SpaceWorker,6clcha,Space Worker Gloves,/items/armors/spaceworkergloves.png
Armor_Gloves_summoner,07mqqe,Knotted Gloves,/items/armors/knottedgloves.png
Armor_Gloves_Survivor,ws5jah,Survivor Gloves,/items/armors/survivorgloves.png
Armor_Gloves_Void,a527cd,Void Wraps,/items/armors/voidwraps.png
Armor_Gloves_Warden,1asxjo,Nanoplated Hands,/items/armors/nanoplatedhands.png
Armor_Head_Alchemist,9qo2gg,Academic's Hat,/items/armors/academicshat.png
Armor_Head_Archon,im7fm2,Labyrinth Headplate,/items/armors/labyrinthheadplate.png
Armor_Head_Army,nathem,Battle Helmet,/items/armors/battlehelmet.png
Armor_Head_Bandit,v66pgu,Bandit's Mask,/items/armors/banditsmask.png
Armor_Head_BloodlessCrown,o5fNZw,Bloodless Crown,/items/armors/bloodlesscrown.png
Armor_Head_Challenger,bd4pam,Bruiser Helmet,/items/armors/bruiserhelmet.png
Armor_Head_CrimsonGuard,ce8izt,Crimson Guard Shroud,/items/armors/crimsonguardshroud.png
Armor_Head_Cultist,x9jrx1,Cultist Hat,/items/armors/cultisthat.png
Armor_Head_Elder,fek1ml,Elder Headdress,/items/armors/elderheaddress.png
Armor_Head_Engineer,gsctum,Technician Helmet,/items/armors/technicianhelmet.png
Armor_Head_Explorer,abhqna,Realmwalker Beret,/items/armors/realmwalkerberet.png
Armor_Head_FaeRoyalGuard,88kdl6,Fae Royal Headcover,/items/armors/faeroyalheadcover.png
Armor_Head_FieldCap,48nh1x,Field Medic Hat,/items/armors/fieldmedichat.png
Armor_Head_Gunslinger,94xkn1,High Noon Hat,/items/armors/highnoonhat.png
Armor_Head_Handler,m8wgy9,Trainer Cap,/items/armors/trainercap.png
Armor_Head_Hunter,zy1ce3,Nightstalker Shroud,/items/armors/nightstalkershroud.png
Armor_Head_Invader,y7fa8n,Dendroid Mask,/items/armors/dendroidmask.png
Armor_Head_Invoker,y7fa8d,Disciple Headpiece,/items/armors/discipleheadpiece.png
Armor_Head_Leto1,kc4dc0,Leto Mark 1 Helmet,/items/armors/letomark1helmet.png
Armor_Head_Leto2,sdsybp,Leto Mark II Helmet,/items/armors/letomark2helmet.png
Armor_Head_LodestoneCrown,pjt7nj,Lodestone Crown,/items/armors/lodestonecrown.png
Armor_Head_Medic,e1waki,Field Medic Mask,/items/armors/fieldmedicmask.png
Armor_Head_MudtoothsHat,u7PqrJ,,/items/armors/mudtoothshat.png
Armor_Head_NerudWarrior,3emu93,Phetyr Sensor,/items/armors/phetyrsensor.png
Armor_Head_PilotsHelm,ovnzhv,Navigator's Helm,/items/armors/navigatorshelm.png
Armor_Head_Radiant,hv4oqq,Radiant Visage,/items/armors/radiantvisage.png
Armor_Head_RedPrince,pu3duv,Crown of the Red Prince,/items/armors/crownoftheredprince.png
Armor_Head_RedWidow,k6zlwn,Red Widow Headdress,/items/armors/redwidowheaddress.png
Armor_Head_Ritualist,ts1v89,Zealot's Hat,/items/armors/zealotshat.png
Armor_Head_SpaceWorker,n3vlkq,Space Worker Mask,/items/armors/spaceworkermask.png
Armor_Head_summoner,oab1w0,Knotted Helm,/items/armors/knottedhelm.png
Armor_Head_TopHat,vZL5tu,Dandy Topper,/items/armors/dandytopper.png
Armor_Head_TrueCrimsonCrown,gsctud,True Crimson Crown,/items/armors/truecrimsoncrown.png
Armor_Head_Void,s7tvfn,Void Skull,/items/armors/voidskull.png
Armor_Head_Warden,2x3sxo,Nanoplated Transmitter,/items/armors/nanoplatedtransmitter.png
Armor_Head_WeldingGoggles,81jid6,Welding Goggles,/items/armors/weldinggoggles.png
Armor_Legs_Alchemist,9b43cb,Academic's Trousers,/items/armors/academicstrousers.png
Armor_Legs_Archon,td29nk,Labyrinth Treads,/items/armors/labyrinthtreads.png
Armor_Legs_Army,battra,Battle Slacks,/items/armors/battleslacks.png
Armor_Legs_Bandit,zdv44y,Bandit Trousers,/items/armors/bandittrousers.png
Armor_Legs_Challenger,pof5ii,Bruiser Boots,/items/armors/bruiserboots.png
Armor_Legs_CrimsonGuard,zk58sf,Crimson Guard Sabatons,/items/armors/crimsonguardsabatons.png
Armor_Legs_Cultist,mr4hn3,Cultist Britches,/items/armors/cultistbritches.png
Armor_Legs_Elder,tfvyyg,Elder Leggings,/items/armors/elderleggings.png
Armor_Legs_Engineer,m16oqd,Technician Greaves,/items/armors/techniciangreaves.png
Armor_Legs_Explorer,4sy6z9,Realmwalker Pantaloons,/items/armors/realmwalkerpantaloons.png
Armor_Legs_FaeRoyalGuard,pi4h8k,Fae Royal Greaves,/items/armors/faeroyalgreaves.png
Armor_Legs_Gunslinger,yccols,High Noon Soles,/items/armors/highnoonsoles.png
Armor_Legs_Handler,olwicb,Trainer Workboots,/items/armors/trainerworkboots.png
Armor_Legs_Hunter,l6utx1,Nightstalker Pants,/items/armors/nightstalkerpants.png
Armor_Legs_Invader,zwh3mb,Dendroid Leggings,/items/armors/dendroidleggings.png
Armor_Legs_Invoker,udddub,Disciple Greaves,/items/armors/disciplegreaves.png
Armor_Legs_Leto1,59uhgg,Leto Mark 1 Leggings,/items/armors/letomark1leggings.png
Armor_Legs_Leto2,t8auqk,Leto Mark II Leggings,/items/armors/letomark2leggings.png
Armor_Legs_Medic,eqcfyt,Field Medic Trousers,/items/armors/fieldmedictrousers.png
Armor_Legs_NerudWarrior,pd68a7,Phetyr Locomotor,/items/armors/phetyrlocomotor.png
Armor_Legs_Radiant,vsg3ue,Radiant Greaves,/items/armors/radiantgreaves.png
Armor_Legs_RedWidow,e4fbbu,Red Widow Leggings,/items/armors/redwidowleggings.png
Armor_Legs_Ritualist,sem0s8,Zealot's Seaboots,/items/armors/zealotsseaboots.png
Armor_Legs_SpaceWorker,rsyilr,Space Worker Legs,/items/armors/spaceworkerleggings.png
Armor_Legs_summoner,b48zw1,Knotted Greaves,/items/armors/knottedgreaves.png
Armor_Legs_Survivor,gv2eqj,Survivor Leggings,/items/armors/survivorleggings.png
Armor_Legs_Void,73lqjk,Void Greaves,/items/armors/voidgreaves.png
Armor_Legs_Warden,im4rk0,Nanoplated Waist,/items/armors/nanoplatedwaist.png
Consumable_AllSeeingEye,rw5Q9E,All-Seeing Eye,/items/consumables/allseeingeye.png
Consumable_AmmoBox,v2usqs,Ammo Box,/items/consumables/ammocrate.png
Consumable_Antidote,a34kjc,Antidote,/items/consumables/antidotesyringe.png
Consumable_Bandage,elazod,Bandage,/items/consumables/bandage.png
Consumable_BarkExtract,hqjxyn,Bark Extract,/items/consumables/barkextract.png
Consumable_BindingOrb,edaeta,Binding Orb,/items/consumables/bindingorb.png
Consumable_BlackTar,nrdcko,Black Tar,/items/consumables/blacktar.png
Consumable_BloodRoot,bisl2l,Blood Root,/items/consumables/bloodroot.png
Consumable_BottledShaedberry,qj302c,Bottled Shaedberry,/items/consumables/bottledshaedberry.png
Consumable_Brightstone,937h03,Brightstone,/items/consumables/brightstone.png
Consumable_ChilledSteam,fhm256,Chilled Steam,/items/consumables/chilledsteam.png
Consumable_ConfidenceBooster,al8yob,Confidence Booster,/items/consumables/confidencebooster.png
Consumable_DarkCider,8p2sj3,Dark Cider,/items/consumables/darkcider.png
Consumable_DarkFluid,byi9a5,Dark Fluid,/items/consumables/darkfluid.png
Consumable_DragonHeart,f96bom,Dragon Heart,/items/relics/dragonheart.png
Consumable_DransDream,3KVVwq,,/items/consumables/dransdream.png
Consumable_DriedFruit,Y8ey65,Dried Fruit,/items/consumables/driedfruit.png
Consumable_EggDrink,byi9d,Egg Drink,/items/consumables/eggdrink.png
Consumable_EtherealOrb,ffjbc9,Ethereal Orb,/items/consumables/etherealorb.png
Consumable_FaerieNeedle,aqphr5,Faerie Needle,/items/consumables/faerieneedle.png
Consumable_GulSerum,m1gznf,Gul Serum,/items/consumables/gulserum.png
Consumable_HuntersDream,PvwhJ5,,/items/consumables/huntressdream.png
Consumable_KoaraPellet,1585ah,Koara Pellet,/items/consumables/koarapellet.png
Consumable_LightExtract,E5CbP6,Light Extract,/items/consumables/lightextract.png
Consumable_LiquidEscape,xgdk68,Liquid Escape,/items/consumables/liquidescape.png
Consumable_MeatShake,4yzeco,Meat Shake,/items/consumables/meatshake.png
Consumable_MudRub,dvx5ib,Mud Rub,/items/consumables/mudrub.png
Consumable_MudToothsElixir,yduuj3,Mudtooth's Elixir,/items/consumables/mudtoothselixir.png
Consumable_MudtoothsSnakeOil,ru74g9,,/items/consumables/mudtoothssnakeoil.png
Consumable_MudToothsStew,5yrxf1,Mudtooth's Stew,/items/consumables/mudtoothsstew.png
Consumable_MudToothsTonic,p0ru94,Mudtooth's Tonic,/items/consumables/mudtoothstonic.png
Consumable_MysteryJerky,6aasor,Mystery Jerky,/items/consumables/mysteryjerkey.png
Consumable_NimuesDream,4Sv3yg,,/items/consumables/nimuesdream.png
Consumable_NumbingAgent,d715ws,Numbing Agent,/items/consumables/numbingagent.png
Consumable_OilskinBalm,0sec3n,Oilskin Balm,/items/consumables/oilskinbalm.png
Consumable_OrbOfUndoing,4g6uzA,Orb of Undoing,/items/consumables/orbofundoing.png
Consumable_PipeBomb,kfwizc,Pipe Bomb,/items/consumables/pipebomb.png
Consumable_PoisonedSpiceCapsule,6awni8,Poisoned Ambit Ember Capsule,/items/consumables/poisonedambitembercapsule.png
Consumable_ProcessedKoara,4lvdgg,Processed Koara,/items/consumables/processedkoarapellet.png
Consumable_PurifiedSalve,wzi8il,Purified Salve,/items/consumables/purifiedsalve.png
Consumable_RocketFuel,rlpblq,Rocket Fuel,/items/consumables/rocketfuel.png
Consumable_RootWalkerDream,5dUhG6,,/items/consumables/walkersdream.png
Consumable_RootWater,56vkqr,Root Water,/items/consumables/rootwater.png
Consumable_SacredLakewater,dk9yg4,Sacred Lakewater,/items/consumables/sacredlakewater.png
Consumable_SanguineVapor,kyulid,Sanguine Vapor,/items/consumables/sanguinevapor.png
Consumable_Spice,6lnae6,Ambit Ember,/items/consumables/ambitember.png
Consumable_StrongDrink,to2dcw,Strong Drink,/items/consumables/strongdrink.png
Consumable_SweetLeaf,rlpblz,Sweet Leaf,/items/consumables/sweetleaf.png
Consumable_ThaenFruit_Celestial,RCsP9c,Celestial Thaen Fruit,/items/consumables/celestialthaenfruit.png
Consumable_ThaenFruit_Elder,JU5svc,Elder Thaen Fruit,/items/consumables/elderthaenfruit.png
Consumable_ThaenFruit_Mature,3gZ3s3,Mature Thaen Fruit,/items/consumables/maturethaenfruit.png
Consumable_TimewornUnguent,li99wc,Timeworn Unguent,/items/consumables/timewornunguent.png
Consumable_TranquilityFont,l7r9sm,Tranquility Font,/items/consumables/tranquilityfont.png
Consumable_VerdantTea,qgare2,Verdant Tea,/items/consumables/verdanttea.png
Consumable_Xenoplasm,2jeq07,Xenoplasm,/items/consumables/xenoplasm.png
Engram_Alchemist,67pme7,Alchemist,/items/archetypes/alchemist.png
Engram_Archon,og1fvq,Archon,/items/archetypes/archon.png
Engram_Challenger,wm2xsy,Challenger,/items/archetypes/challenger.png
Engram_Engineer,98i1ka,Engineer,/items/archetypes/engineer.png
Engram_Explorer,la3vvu,Explorer,/items/archetypes/explorer.png
Engram_Gunslinger,d2qga5,Gunslinger,/items/archetypes/gunslinger.png
Engram_Handler,aazlxe,Handler,/items/archetypes/handler.png
Engram_Hunter,5tkqdz,Hunter,/items/archetypes/hunter.png
Engram_Invader,0ipjpk,Invader,/items/archetypes/invader.png
Engram_Invoker,Y2NhrX,Invoker,/items/archetypes/invoker.png
Engram_Medic,d6fvmc,Medic,/items/archetypes/medic.png
Engram_Ritualist,1q7z9d,Ritualist,/items/archetypes/ritualist.png
Engram_Summoner,og0bwx,Summoner,/items/archetypes/summoner.png
Engram_Warden,tn0x3c,Warden,/items/archetypes/warden.png
MetaGem_Bandit,f9tqot,Bandit,/items/mutators/bandit.png
MetaGem_Battery,n5zhws,Battery,/items/mutators/battery.png
MetaGem_BattleMage,y5hY8J,Battle Mage,/items/mutators/battle_mage.png
MetaGem_BottomFeeder,90i71b,Spirit Feeder,/items/mutators/bottom_feeder.png
MetaGem_BottomHeavy,8lg493,Bottom Heavy,/items/mutators/bottom_heavy.png
MetaGem_Bulletweaver,cr22cp,Bulletweaver,/items/mutators/bulletweaver.png
MetaGem_ChargedWounds,77hc49,Charged Wounds,/items/mutators/chargedwounds.png
MetaGem_DeadlyCalm,ssvo08,Deadly Calm,/items/mutators/deadly_calm.png
MetaGem_Dervish,9htayl,Dervish,/items/mutators/dervish.png
MetaGem_Detonator,fgs17j,Detonator,/items/mutators/detonator.png
MetaGem_Disengage,3kadzw,Disengage,/items/mutators/disengage.png
MetaGem_Dreadful,zcqbti,Dreadful,/items/mutators/dreadful.png
MetaGem_Edgelord,mpxowx,Edgelord,/items/mutators/edgelord.png
MetaGem_Executor,pynv5l,Executor,/items/mutators/executor.png
MetaGem_Extender,pszxmh,Extender,/items/mutators/extender.png
MetaGem_Failsafe,0xx8tz,Failsafe,/items/mutators/failsafe.png
MetaGem_FarSighted,QJdhx2,Far-Sighted,/items/mutators/far-sighted.png
MetaGem_Feedback,75qok3,Feedback,/items/mutators/feedback.png
MetaGem_FetidWounds,b07g02,Fetid Wounds,/items/mutators/fetid_wounds.png
MetaGem_GhostShell,85c7yj,Ghost Shell,/items/mutators/ghost_shell.png
MetaGem_Gladiator,N4LpPR,Gladiator,/items/mutators/gladiator.png
MetaGem_Guts,961d6v,Guts,/items/mutators/guts.png
MetaGem_Harmonizer,jyl055,Harmonizer,/items/mutators/harmonizer.png
MetaGem_HiddenPower,9154v1,Hidden Power,/items/mutators/hiddenpower.png
MetaGem_HyperCharger,mh4scd,Hyper Charger,/items/mutators/hyper_charger.png
MetaGem_Ingenuity,mkbquc,Ingenuity,/items/mutators/ingenuity.png
